State,ResidenceType_Urban,Household_members,HealthInsurance,Single_Parent,Religion,family_id
Jammu & Kashmir,0,6,0,0,2,1
Jammu & Kashmir,0,6,0,0,2,2
Jammu & Kashmir,0,5,0,0,2,3
Jammu & Kashmir,0,4,0,0,2,4
Jammu & Kashmir,0,5,0,0,2,5
Jammu & Kashmir,0,3,0,0,2,6
Jammu & Kashmir,0,5,0,0,2,7
Jammu & Kashmir,0,5,0,0,2,8
Jammu & Kashmir,0,6,0,0,2,9
Jammu & Kashmir,0,7,0,0,2,10
Jammu & Kashmir,0,3,0,0,2,11
Jammu & Kashmir,0,4,0,0,2,12
Jammu & Kashmir,0,5,0,0,2,13
Jammu & Kashmir,0,5,0,0,2,14
Jammu & Kashmir,0,5,0,0,2,15
Jammu & Kashmir,0,3,0,0,2,16
Jammu & Kashmir,0,7,0,0,2,17
Jammu & Kashmir,0,6,0,0,2,18
Jammu & Kashmir,0,6,0,0,2,19
Jammu & Kashmir,0,7,0,0,2,20
Jammu & Kashmir,0,5,0,0,2,21
Jammu & Kashmir,0,5,0,0,2,22
Jammu & Kashmir,0,5,0,0,2,23
Jammu & Kashmir,0,4,0,0,2,24
Jammu & Kashmir,0,6,0,0,2,25
Jammu & Kashmir,0,3,0,0,2,26
Jammu & Kashmir,0,9,0,0,2,27
Jammu & Kashmir,0,7,0,0,2,28
Jammu & Kashmir,0,5,0,0,2,29
Jammu & Kashmir,0,9,0,0,2,30
Jammu & Kashmir,0,9,0,0,2,31
Jammu & Kashmir,0,7,0,0,2,32
Jammu & Kashmir,0,11,0,0,2,33
Jammu & Kashmir,0,11,0,0,2,34
Jammu & Kashmir,0,5,0,0,2,35
Jammu & Kashmir,0,5,0,0,2,36
Jammu & Kashmir,0,7,0,0,2,37
Jammu & Kashmir,0,6,0,0,2,38
Jammu & Kashmir,0,6,0,0,2,39
Jammu & Kashmir,0,5,0,0,2,40
Jammu & Kashmir,0,5,0,0,2,41
Jammu & Kashmir,0,7,0,0,2,42
Jammu & Kashmir,0,5,0,0,2,43
Jammu & Kashmir,0,5,0,0,2,44
Jammu & Kashmir,0,5,0,0,2,45
Jammu & Kashmir,0,6,0,0,2,46
Jammu & Kashmir,0,6,0,0,2,47
Jammu & Kashmir,0,5,0,0,2,48
Jammu & Kashmir,0,3,0,0,2,49
Jammu & Kashmir,0,6,0,0,2,50
Jammu & Kashmir,0,5,0,0,2,51
Jammu & Kashmir,0,6,0,0,2,52
Jammu & Kashmir,0,3,0,0,2,53
Jammu & Kashmir,0,6,0,0,2,54
Jammu & Kashmir,0,5,0,0,2,55
Jammu & Kashmir,0,5,0,0,2,56
Jammu & Kashmir,0,6,0,0,2,57
Jammu & Kashmir,0,5,0,0,2,58
Jammu & Kashmir,0,5,0,0,2,59
Jammu & Kashmir,0,6,0,0,2,60
Jammu & Kashmir,0,5,0,0,2,61
Jammu & Kashmir,0,3,0,0,2,62
Jammu & Kashmir,0,4,0,0,2,63
Jammu & Kashmir,0,4,0,0,2,64
Jammu & Kashmir,0,7,0,0,2,65
Jammu & Kashmir,0,6,0,0,2,66
Jammu & Kashmir,0,9,0,0,2,67
Jammu & Kashmir,0,8,0,0,2,68
Jammu & Kashmir,0,5,0,0,2,69
Jammu & Kashmir,0,4,0,0,2,70
Jammu & Kashmir,0,5,0,0,2,71
Jammu & Kashmir,0,4,0,0,2,72
Jammu & Kashmir,0,4,0,0,2,73
Jammu & Kashmir,0,4,0,0,2,74
Jammu & Kashmir,0,3,0,0,2,75
Jammu & Kashmir,0,5,0,0,2,76
Jammu & Kashmir,0,6,1,0,2,77
Jammu & Kashmir,0,6,0,0,2,78
Jammu & Kashmir,0,5,0,0,2,79
Jammu & Kashmir,0,4,0,0,2,80
Jammu & Kashmir,0,4,0,0,2,81
Jammu & Kashmir,0,6,0,0,2,82
Jammu & Kashmir,0,3,0,0,2,83
Jammu & Kashmir,0,4,0,0,2,84
Jammu & Kashmir,0,3,0,0,2,85
Jammu & Kashmir,0,3,0,0,2,86
Jammu & Kashmir,0,7,0,0,2,87
Jammu & Kashmir,0,8,0,0,2,88
Jammu & Kashmir,0,3,0,0,2,89
Jammu & Kashmir,0,3,0,0,2,90
Jammu & Kashmir,0,4,0,0,2,91
Jammu & Kashmir,0,3,0,0,2,92
Jammu & Kashmir,0,3,0,0,2,93
Jammu & Kashmir,0,4,0,0,2,94
Jammu & Kashmir,0,4,0,0,2,95
Jammu & Kashmir,0,3,1,0,2,96
Jammu & Kashmir,0,7,0,0,2,97
Jammu & Kashmir,0,3,0,0,2,98
Jammu & Kashmir,0,3,1,0,2,99
Jammu & Kashmir,0,6,0,0,2,100
Jammu & Kashmir,0,6,0,0,2,101
Jammu & Kashmir,0,4,0,0,2,102
Jammu & Kashmir,0,5,0,0,2,103
Jammu & Kashmir,0,5,0,0,2,104
Jammu & Kashmir,0,5,0,0,2,105
Jammu & Kashmir,0,8,0,0,2,106
Jammu & Kashmir,0,5,0,0,2,107
Jammu & Kashmir,0,9,0,0,2,108
Jammu & Kashmir,0,4,0,0,2,109
Jammu & Kashmir,0,6,0,0,2,110
Jammu & Kashmir,0,7,0,0,2,111
Jammu & Kashmir,0,11,0,0,2,112
Jammu & Kashmir,0,4,0,0,2,113
Jammu & Kashmir,0,7,0,0,2,114
Jammu & Kashmir,0,5,0,0,2,115
Jammu & Kashmir,0,3,0,0,2,116
Jammu & Kashmir,0,5,0,0,2,117
Jammu & Kashmir,0,6,0,0,2,118
Jammu & Kashmir,0,5,1,0,2,119
Jammu & Kashmir,0,5,0,0,2,120
Jammu & Kashmir,0,6,0,0,2,121
Jammu & Kashmir,0,4,0,0,2,122
