State,electricity,toilet,radio,tv,bicycle,motorcycle,car
Andaman & Nicobar Islands,100.0,97.33333333333334,9.333333333333334,88.0,5.333333333333334,58.666666666666664,14.666666666666666
Andhra Pradesh,99.54545454545455,91.36363636363637,3.1818181818181817,91.81818181818183,22.272727272727273,62.727272727272734,4.090909090909091
Arunachal Pradesh,99.11894273127754,98.53157121879589,5.726872246696035,91.18942731277532,25.697503671071953,53.15712187958884,30.102790014684288
Assam,99.39577039274926,95.31722054380664,3.7764350453172204,78.70090634441088,50.0,46.37462235649547,17.673716012084594
Bihar,96.51567944250871,84.78513356562138,2.671312427409988,63.879210220673635,59.814169570267126,43.08943089430895,4.181184668989547
Chandigarh,100.0,94.1747572815534,6.796116504854369,94.1747572815534,53.398058252427184,74.75728155339806,26.21359223300971
Chhattisgarh,99.06639004149378,93.56846473029046,5.08298755186722,86.92946058091286,62.136929460580916,77.28215767634855,11.307053941908714
Dadra & Nagar Haveli And Daman & Diu,100.0,97.2972972972973,1.6891891891891893,78.04054054054053,24.324324324324326,57.770270270270274,9.121621621621621
Goa,100.0,99.39393939393939,3.0303030303030303,93.33333333333333,41.21212121212121,89.0909090909091,41.21212121212121
Gujarat,99.46409431939979,93.56913183279742,3.965702036441586,89.0139335476956,32.90460878885316,76.09860664523043,16.184351554126476
Haryana,99.73285841495992,97.95191451469279,3.1166518254674975,91.18432769367764,47.46215494211932,67.8539626001781,19.946571682991987
Himachal Pradesh,97.5609756097561,93.4959349593496,10.569105691056912,89.43089430894308,20.32520325203252,60.97560975609756,47.15447154471545
Jammu & Kashmir,99.8502994011976,92.66467065868264,44.91017964071856,91.31736526946108,24.10179640718563,41.31736526946108,42.21556886227545
Jharkhand,98.77777777777777,85.77777777777777,3.4444444444444446,76.77777777777777,58.44444444444444,63.33333333333333,10.11111111111111
Karnataka,99.71119133574007,85.92057761732852,4.4765342960288805,90.03610108303249,28.808664259927795,73.2129963898917,12.057761732851986
Kerala,99.8798076923077,99.63942307692307,16.466346153846153,86.41826923076923,26.802884615384613,68.50961538461539,30.528846153846157
Ladakh,100.0,100.0,67.36842105263158,94.73684210526315,27.368421052631582,42.10526315789473,53.68421052631579
Lakshadweep,100.0,100.0,21.893491124260358,82.24852071005917,81.06508875739645,82.84023668639054,2.9585798816568047
Madhya Pradesh,99.35559461042766,89.57234915055653,6.502636203866433,86.40890451083773,42.12067955477446,70.12302284710017,11.657879320445225
Maharashtra,98.68004223864835,87.80359028511087,7.972544878563887,87.43400211193241,33.47412882787751,68.32101372756073,9.081309398099261
Manipur,98.76288659793815,98.96907216494846,33.19587628865979,80.20618556701031,47.21649484536082,49.896907216494846,23.505154639175256
Meghalaya,93.35664335664336,96.85314685314685,5.594405594405594,69.93006993006993,14.685314685314685,21.328671328671327,21.328671328671327
Mizoram,99.51298701298701,99.83766233766234,4.220779220779221,90.09740259740259,21.428571428571427,51.461038961038966,23.214285714285715
Nagaland,100.0,98.61111111111111,8.333333333333332,84.375,8.333333333333332,24.305555555555554,35.76388888888889
Nct Of Delhi,99.82425307557118,94.20035149384886,7.5571177504393665,89.98242530755711,27.182190978324545,56.5319273579379,17.04745166959578
Odisha,99.14040114613181,78.08022922636103,2.5787965616045847,84.38395415472779,63.89684813753582,65.7593123209169,10.458452722063036
Puducherry,100.0,95.61200923787528,8.545034642032332,96.99769053117782,33.94919168591224,78.9838337182448,19.168591224018474
Punjab,99.70208540218471,97.51737835153924,4.369414101290963,93.14796425024826,62.959285004965245,79.1459781529295,25.620655412115195
Rajasthan,99.71280873061458,95.00287191269385,5.11200459506031,90.86731763354395,34.4055140723722,82.88340034462952,15.623205054566341
Sikkim,97.72727272727273,100.0,6.8181818181818175,93.18181818181817,6.8181818181818175,13.636363636363635,18.181818181818183
Tamil Nadu,99.71894322653176,85.89094997189433,7.363687464867903,96.29005059021922,39.62900505902192,78.80831928049467,10.286677908937605
Telangana,99.6560619088564,91.48753224419605,3.267411865864144,89.68185726569217,21.84006878761823,70.9372312983663,7.136715391229578
Tripura,98.22222222222223,99.55555555555556,2.2222222222222223,85.33333333333334,50.22222222222222,40.44444444444444,5.777777777777778
Uttar Pradesh,97.66120948880722,92.41563648513198,3.775476110925493,79.85299031072502,64.14968259271635,66.68894086201136,9.522218509856332
Uttarakhand,99.7560975609756,96.09756097560975,5.853658536585367,89.02439024390245,30.975609756097562,61.951219512195124,20.243902439024392
West Bengal,99.67948717948718,91.66666666666666,2.9914529914529915,85.57692307692307,71.6880341880342,43.376068376068375,5.662393162393163
